Random Arrays,,,,,,,,,,,,
Method 1, , ,Method 2, ,Method3, ,Method4, ,Method5, ,Method6,
Length,Time,Operations,Time,Operations,Time,Operations,Time,Operations,Time,Operations,Time,Operations
313,1,11021313,0,6359313,24,29983822313,1,50702313,0,15552313,1,73872
626,1,24577626,0,12966626,64,29963980626,1,199377626,1,34768626,2,301345
1252,0,608441252,1,279031252,19,2.99205E+11,1,7906341252,0,770201252,3,1196097
2504,1,1274242504,0,612412504,19,2.9826E+11,3,31487762504,1,1690262504,4,4751282
5008,1,2858425008,1,1282285008,18,2.96219E+11,13,1.25676E+11,1,3681285008,12,19049341
10016,2,65567710016,1,27161510016,19,2.91832E+12,51,5.02152E+12,1,79676410016,47,74576305
20032,3,1.43689E+11,3,59765520032,19,2.82461E+12,202,2.00751E+13,2,1.71386E+11,187,300244003
40064,6,2.9359E+11,5,1.25503E+11,18,2.62522E+12,789,8.02782E+13,4,3.66768E+11,743,1200117213
80128,9,6.2719E+11,6,2.61501E+11,17,2.20234E+12,3196,3.21069E+14,8,7.81632E+11,3086,4793785030
160256,22,1.57117E+13,13,5.71342E+12,20,1.65933E+13,12889,1.28419E+16,18,1.65933E+13,11960,19232474717
320512,40,2.92115E+13,24,1.1971E+13,37,3.51103E+13,50618,5.13657E+16,38,3.51103E+13,48015,76883441139
641024,93,6.38014E+13,50,2.52723E+13,76,7.40673E+13,209526,2.05459E+17,77,7.40673E+13,199888,3.07963E+11
Identical Numbers,,,,,,,,,,,,
Method 1, , ,Method 2, ,Method3, ,Method4, ,Method5, ,Method6,
Length,Time,Operations,Time,Operations,Time,Operations,Time,Operations,Time,Operations,Time,Operations
313,0,4058313,1,5701313,18,29985796313,0,50702313,0,13578313,0,1250
626,0,9378626,0,12655626,18,29968462626,0,199377626,0,30286626,0,2502
1252,1,212701252,0,278151252,20,2.99307E+11,1,7906341252,0,668321252,0,5006
2504,0,425562504,0,606392504,18,2.98488E+11,3,31487762504,0,1461842504,0,10014
5008,0,951365008,1,1312955008,18,2.96726E+11,13,1.25676E+11,1,3174085008,0,20030
10016,0,21031410016,0,28262310016,18,2.92951E+12,51,5.02152E+12,0,68489610016,0,40062
20032,1,42065620032,0,60531120032,19,2.849E+12,206,2.00751E+13,1,1.46995E+11,0,80126
40064,1,92145240064,2,1.29075E+11,16,2.67796E+12,837,8.02782E+13,2,3.14022E+11,1,160254
80128,3,1.84292E+11,5,2.74176E+11,14,2.31587E+12,3271,3.21069E+14,4,6.68109E+11,0,320510
160256,4,4.00638E+12,6,5.80403E+12,10,1.5516E+13,13257,1.28419E+16,8,1.41635E+13,1,641022
320512,10,8.6538E+12,12,1.22491E+13,20,2.99295E+13,53986,5.13657E+16,18,2.99295E+13,1,1282046
641024,28,1.73076E+13,25,2.57802E+13,40,6.30641E+13,218766,2.05459E+17,39,6.30641E+13,3,2564094
Sorted Array,,,,,,,,,,,,
Method 1, , ,Method 2, ,Method3, ,Method4, ,Method5, ,Method6,
Length,Time,Operations,Time,Operations,Time,Operations,Time,Operations,Time,Operations,Time,Operations
313,0,4058313,0,51014313,18,29985520313,0,50702313,0,13854313,0,1250
626,0,9378626,0,200002626,19,29967910626,0,199377626,0,30838626,0,2502
1252,0,212701252,1,7918851252,18,2.99296E+11,2,7906341252,0,679361252,0,5006
2504,0,425562504,4,31512792504,18,2.98466E+11,5,31487762504,1,1483922504,0,10014
5008,0,951365008,16,1.25726E+11,18,2.96682E+11,21,1.25676E+11,0,3218245008,0,20030
10016,1,21031410016,68,5.02252E+12,19,2.92862E+12,90,5.02152E+12,1,69372810016,0,40062
20032,0,42065620032,270,2.00771E+13,22,2.84723E+12,314,2.00751E+13,1,1.48762E+11,0,80126
40064,2,92145240064,1041,8.02822E+13,17,2.67443E+12,1263,8.02782E+13,2,3.17555E+11,0,160254
80128,3,1.84292E+11,4134,3.21077E+14,13,2.3088E+12,5058,3.21069E+14,4,6.75174E+11,1,320510
160256,5,4.00638E+12,16532,1.2842E+16,9,1.53747E+13,20252,1.28419E+16,9,1.43048E+13,0,641022
320512,10,8.6538E+12,65526,5.13661E+16,17,3.02121E+13,81240,5.13657E+16,17,3.02121E+13,1,1282046
641024,27,1.73076E+13,266900,2.0546E+17,36,6.36293E+13,329544,2.05459E+17,38,6.36293E+13,2,2564094
Reverse Sorted Array,,,,,,,,,,,,
Method 1, , ,Method 2, ,Method3, ,Method4, ,Method5, ,Method6,
Length,Time,Operations,Time,Operations,Time,Operations,Time,Operations,Time,Operations,Time,Operations
313,0,8484313,1,50858313,18,29985796313,0,50702313,0,13578313,0,148046
626,0,20468626,1,199689626,19,29968462626,1,199377626,0,30286626,0,590002
1252,0,457061252,1,7912591252,18,2.99307E+11,2,7906341252,0,668321252,1,2355635
2504,0,986452504,4,31500272504,18,2.98488E+11,4,31487762504,0,1461842504,6,9413785
5008,0,2137095008,16,1.25701E+11,18,2.96726E+11,17,1.25676E+11,0,3174085008,23,37637621
10016,1,48294110016,66,5.02202E+12,17,2.92951E+12,65,5.02152E+12,0,68489610016,96,150515437
20032,1,1.05637E+11,266,2.00761E+13,18,2.849E+12,258,2.00751E+13,1,1.46995E+11,380,601991645
40064,2,2.21354E+11,1125,8.02802E+13,16,2.67796E+12,1037,8.02782E+13,3,3.14022E+11,1524,2407826365
80128,3,4.66345E+11,4311,3.21073E+14,14,2.31587E+12,4226,3.21069E+14,4,6.68109E+11,6201,9631025021
160256,8,9.89734E+12,17183,1.2842E+16,9,1.5516E+13,16820,1.28419E+16,8,1.41635E+13,24875,38523539197
320512,15,2.128E+13,68599,5.13659E+16,18,2.99295E+13,67565,5.13657E+16,21,2.99295E+13,99599,1.54093E+11
641024,41,4.40871E+13,279511,2.0546E+17,38,6.30641E+13,275422,2.05459E+17,36,6.30641E+13,406518,6.1637E+11
